,weight,gain,cover,total_gain,total_cover
Algorithm Name=MadaBoost,252,0.07131275315850404,7.091100793888889,17.970813795943016,1786.95740006
FeaturesLabels.PearsonCorrelation.StandardDeviation,70,0.66859058487591,9.104445261000004,46.801340941313704,637.3111682700003
Algorithm Name=AdaBoost,311,0.09772767803827775,5.278912196752411,30.39330786990438,1641.7416931899998
f119,31,0.5176797008453226,4.7277938380645175,16.048070726204998,146.56160898000005
f120,24,0.5528067027140833,5.218280771250001,13.267360865137999,125.23873851000002
f101,27,0.8078139501601854,3.7580889781481477,21.810976654325007,101.46840240999998
f110,35,0.36779144722697144,6.693054833714285,12.872700652944001,234.25691917999998
nonzero_vals_cnt,55,0.7474043795816727,7.903236818181817,41.107240876992,434.67802499999993
Features.Mean.Mean,47,0.3407216233322234,3.9835558638297863,16.0139162966145,187.22712559999997
Features.Kurtosis.Mean,37,0.4940702912483972,6.2375525159459455,18.280600776190695,230.78944309
FeaturesLabels.SpearmanCorrelation.Mean,44,0.0933068968072341,4.722955925227272,4.1055034595183,207.81006071
Features.Mean.StandardDeviation,70,0.6537694120001145,7.561923240571426,45.76385884000801,529.3346268399998
Features.SpearmanCorrelation.StandardDeviation,63,0.17718154540647632,5.843440060476191,11.162437360608008,368.13672381000003
f18,15,1.0412654446081333,3.4280795093333336,15.618981669121998,51.42119264
Features.PearsonCorrelation.Mean,76,0.40593037651535796,6.217037857368422,30.850708615167207,472.49487716000004
f105,13,0.6493954780434232,9.485587026923078,8.442141214564503,123.31263135
f10,16,0.34132038475640625,5.541827276249999,5.4611261561025,88.66923641999999
FeaturesLabels.SpearmanCorrelation.StandardDeviation,37,0.15095080145080808,5.423535187567568,5.585179653679899,200.67080194000002
f4,5,0.9642671760620001,10.54851589,4.82133588031,52.742579449999994
Features.Skew.StandardDeviation,53,0.08235929153109432,4.631783606415095,4.365042451147999,245.48453114000003
f17,10,0.28190066629429994,5.674432731,2.8190066629429995,56.744327309999996
Features.Kurtosis.StandardDeviation,36,0.5235521970252696,8.452726356388888,18.847879092909704,304.29814883
f108,63,0.3351580595899175,6.486773809365081,21.114957754164802,408.6667499900001
Features.SpearmanCorrelation.Mean,45,0.2943574629290443,6.2407670353333335,13.246085831806994,280.83451659
f107,37,0.25784965216981076,4.6413194021621615,9.540437130282998,171.72881787999998
f123,23,0.34946185288637405,4.133368337391304,8.037622616386603,95.06747175999999
