Dataset Name Left Out,Cross Validation,Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training Time(time.perf_counter()),Inference Time(time.perf_counter()
acute-inflammation,1,"{'clf__n_jobs': -1, 'clf__n_estimators': 300, 'clf__max_depth': 15, 'clf__learning_rate': 0.3, 'clf__colsample_bytree': 0.6500000000000001}",0.6666666666666666,0.0,0.0,0.3333333333333333,1.0,1.0,103.59,0.01
acute-nephritis,2,"{'clf__n_jobs': -1, 'clf__n_estimators': 550, 'clf__max_depth': 22, 'clf__learning_rate': 0.5, 'clf__colsample_bytree': 0.8500000000000002}",1.0,1.0,0.0,1.0,1.0,1.0,103.18,0.01
analcatdata_asbestos,3,"{'clf__n_jobs': -1, 'clf__n_estimators': 250, 'clf__max_depth': 12, 'clf__learning_rate': 0.35000000000000003, 'clf__colsample_bytree': 0.6000000000000002}",0.3333333333333333,0.0,0.5,0.25,0.5,0.5,102.45,0.01
analcatdata_boxing1,4,"{'clf__n_jobs': -1, 'clf__n_estimators': 250, 'clf__max_depth': 12, 'clf__learning_rate': 0.35000000000000003, 'clf__colsample_bytree': 0.6000000000000002}",0.3333333333333333,0.0,0.5,0.25,0.5,0.5,102.36,0.01
analcatdata_broadwaymult,5,"{'clf__n_jobs': -1, 'clf__n_estimators': 300, 'clf__max_depth': 15, 'clf__learning_rate': 0.3, 'clf__colsample_bytree': 0.6500000000000001}",1.0,1.0,0.0,1.0,1.0,1.0,102.63,0.01
analcatdata_germangss,6,"{'clf__n_jobs': -1, 'clf__n_estimators': 250, 'clf__max_depth': 12, 'clf__learning_rate': 0.35000000000000003, 'clf__colsample_bytree': 0.6000000000000002}",0.6666666666666666,0.0,0.0,0.3333333333333333,1.0,1.0,102.48,0.01
analcatdata_lawsuit,7,"{'clf__n_jobs': -1, 'clf__n_estimators': 300, 'clf__max_depth': 15, 'clf__learning_rate': 0.3, 'clf__colsample_bytree': 0.6500000000000001}",1.0,1.0,0.0,1.0,1.0,1.0,102.44,0.01
annealing,8,"{'clf__n_jobs': -1, 'clf__n_estimators': 250, 'clf__max_depth': 12, 'clf__learning_rate': 0.35000000000000003, 'clf__colsample_bytree': 0.6000000000000002}",0.6666666666666666,0.0,0.0,0.3333333333333333,1.0,1.0,102.48,0.01
ar4,9,"{'clf__n_jobs': -1, 'clf__n_estimators': 750, 'clf__max_depth': 24, 'clf__learning_rate': 0.25, 'clf__colsample_bytree': 0.25000000000000006}",0.6666666666666666,0.0,0.0,0.3333333333333333,0.5,0.5,102.52,0.01
arrhythmia,10,"{'clf__n_jobs': -1, 'clf__n_estimators': 750, 'clf__max_depth': 24, 'clf__learning_rate': 0.25, 'clf__colsample_bytree': 0.25000000000000006}",0.3333333333333333,0.0,0.5,0.25,0.5,0.5,102.56,0.01
audiology-std,11,"{'clf__n_jobs': -1, 'clf__n_estimators': 300, 'clf__max_depth': 15, 'clf__learning_rate': 0.3, 'clf__colsample_bytree': 0.6500000000000001}",1.0,1.0,0.0,1.0,1.0,1.0,102.65,0.01
balance-scale,12,"{'clf__n_jobs': -1, 'clf__n_estimators': 300, 'clf__max_depth': 15, 'clf__learning_rate': 0.3, 'clf__colsample_bytree': 0.6500000000000001}",0.3333333333333333,0.0,0.5,0.25,0.0,0.3333333333333333,102.57,0.01
bank,13,"{'clf__n_jobs': -1, 'clf__n_estimators': 950, 'clf__max_depth': 15, 'clf__learning_rate': 0.45, 'clf__colsample_bytree': 0.6500000000000001}",0.6666666666666666,0.0,0.0,0.3333333333333333,0.5,0.5,103.25,0.01
baseball,14,"{'clf__n_jobs': -1, 'clf__n_estimators': 950, 'clf__max_depth': 15, 'clf__learning_rate': 0.45, 'clf__colsample_bytree': 0.6500000000000001}",0.3333333333333333,0.0,0.5,0.25,0.0,0.3333333333333333,102.90,0.09
blood,15,"{'clf__n_jobs': -1, 'clf__n_estimators': 300, 'clf__max_depth': 15, 'clf__learning_rate': 0.3, 'clf__colsample_bytree': 0.6500000000000001}",0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,102.42,0.01
bodyfat,16,"{'clf__n_jobs': -1, 'clf__n_estimators': 300, 'clf__max_depth': 15, 'clf__learning_rate': 0.3, 'clf__colsample_bytree': 0.6500000000000001}",1.0,1.0,0.0,1.0,1.0,1.0,102.71,0.01
braziltourism,17,"{'clf__n_jobs': -1, 'clf__n_estimators': 600, 'clf__max_depth': 26, 'clf__learning_rate': 0.7500000000000001, 'clf__colsample_bytree': 0.8500000000000002}",0.6666666666666666,0.0,0.0,0.3333333333333333,1.0,1.0,103.05,0.01
breast-cancer-wisc-diag,18,"{'clf__n_jobs': -1, 'clf__n_estimators': 350, 'clf__max_depth': 7, 'clf__learning_rate': 0.9000000000000001, 'clf__colsample_bytree': 0.8000000000000002}",1.0,1.0,0.0,1.0,1.0,1.0,102.61,0.01
breast-cancer-wisc-prog,19,"{'clf__n_jobs': -1, 'clf__n_estimators': 250, 'clf__max_depth': 12, 'clf__learning_rate': 0.35000000000000003, 'clf__colsample_bytree': 0.6000000000000002}",1.0,1.0,0.0,1.0,1.0,1.0,102.71,0.01
breast-cancer-wisc,20,"{'clf__n_jobs': -1, 'clf__n_estimators': 300, 'clf__max_depth': 15, 'clf__learning_rate': 0.3, 'clf__colsample_bytree': 0.6500000000000001}",0.3333333333333333,0.0,0.5,0.25,0.0,0.3333333333333333,102.53,0.01
breast-cancer,21,"{'clf__n_jobs': -1, 'clf__n_estimators': 250, 'clf__max_depth': 12, 'clf__learning_rate': 0.35000000000000003, 'clf__colsample_bytree': 0.6000000000000002}",0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,102.19,0.01
