Dataset Name,Algorithm Name,Cross Validation [1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training Time(time.perf_counter()),Inference Time(time.perf_counter()
led-display,MadaBoost,1,"{'clf__n_estimators': 851, 'clf__learning_rate': 0.9000000000000001, 'clf__base_estimator': DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=28,
                       max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, presort=False,
                       random_state=42, splitter='best')}",0.6728971962616822,0.977211308831726,0.9989473684210528,0.7194971694971695,0.2162713196025052,0.8070911817622234,46.78,0.19
led-display,MadaBoost,2,"{'clf__n_estimators': 751, 'clf__learning_rate': 0.35000000000000003, 'clf__base_estimator': DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=42,
                       max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, presort=False,
                       random_state=42, splitter='best')}",0.6764705882352942,0.9782245220884772,0.9989130434782608,0.6819065656565657,0.1757573760974883,0.7503164958825854,43.8,0.12
led-display,MadaBoost,3,"{'clf__n_estimators': 801, 'clf__learning_rate': 0.05, 'clf__base_estimator': DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=42,
                       max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, presort=False,
                       random_state=42, splitter='best')}",0.7029702970297029,0.9724664224664225,0.984387351778656,0.7203593628593629,0.18154967013662665,0.7475485443830585,47.08,0.19
led-display,MadaBoost,4,"{'clf__n_estimators': 851, 'clf__learning_rate': 0.05, 'clf__base_estimator': DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=15,
                       max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, presort=False,
                       random_state=42, splitter='best')}",0.7425742574257426,0.969205287466157,0.9956043956043956,0.7554689754689755,0.13350405633014328,0.7654850299679642,44.33,0.2
led-display,MadaBoost,5,"{'clf__n_estimators': 601, 'clf__learning_rate': 0.7500000000000001, 'clf__base_estimator': DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=15,
                       max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, presort=False,
                       random_state=42, splitter='best')}",0.66,0.9844436302448027,0.9988888888888888,0.6689178876678876,0.19576342010727696,0.7994571326371429,43.1,0.13
led-display,MadaBoost,6,"{'clf__n_estimators': 301, 'clf__learning_rate': 0.9000000000000001, 'clf__base_estimator': DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=8,
                       max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, presort=False,
                       random_state=42, splitter='best')}",0.7272727272727273,0.9662521373757328,0.9988764044943822,0.7365431790431791,0.1989068232931018,0.7958455541068746,43.09,0.07
led-display,MadaBoost,7,"{'clf__n_estimators': 801, 'clf__learning_rate': 0.05, 'clf__base_estimator': DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=42,
                       max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, presort=False,
                       random_state=42, splitter='best')}",0.7171717171717171,0.9730811292328144,0.978776529338327,0.7303663003663003,0.15356674012062166,0.7819335646676151,43.41,0.18
led-display,MadaBoost,8,"{'clf__n_estimators': 451, 'clf__learning_rate': 0.35000000000000003, 'clf__base_estimator': DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=36,
                       max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, presort=False,
                       random_state=42, splitter='best')}",0.6391752577319587,0.970229207230482,0.9988505747126436,0.655903540903541,0.20660707477539786,0.7868022431480751,48.15,0.1
led-display,MadaBoost,9,"{'clf__n_estimators': 901, 'clf__learning_rate': 0.05, 'clf__base_estimator': DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=22,
                       max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, presort=False,
                       random_state=42, splitter='best')}",0.6907216494845361,0.975924967624034,0.9965517241379308,0.7101966089466091,0.16803901091139906,0.7849226780243991,43.99,0.14
led-display,MadaBoost,10,"{'clf__n_estimators': 401, 'clf__learning_rate': 0.7000000000000001, 'clf__base_estimator': DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=28,
                       max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, presort=False,
                       random_state=42, splitter='best')}",0.7010309278350515,0.9781065466209812,0.9988764044943822,0.6547727272727273,0.18406107992515366,0.8105813632157506,43.62,0.09
