Dataset Name,Algorithm Name,Winner
led-display,AdaBoost,True
led-display,MadaBoost,False
led-display,LogitBoost,False
cylinder-bands,AdaBoost,True
cylinder-bands,LogitBoost,False
cylinder-bands,MadaBoost,False
wall-following,AdaBoost,True
wall-following,MadaBoost,False
wall-following,LogitBoost,False
lupus,AdaBoost,True
lupus,LogitBoost,False
lupus,MadaBoost,False
waveform,LogitBoost,True
waveform,MadaBoost,False
waveform,AdaBoost,False
molec-biol-splice,MadaBoost,True
molec-biol-splice,AdaBoost,False
molec-biol-splice,LogitBoost,False
echocardiogram,AdaBoost,True
echocardiogram,LogitBoost,False
echocardiogram,MadaBoost,False
pima,LogitBoost,True
pima,MadaBoost,False
pima,AdaBoost,False
analcatdata_broadwaymult,MadaBoost,True
analcatdata_broadwaymult,LogitBoost,False
analcatdata_broadwaymult,AdaBoost,False
ar4,MadaBoost,True
ar4,AdaBoost,False
ar4,LogitBoost,False
soybean,MadaBoost,True
soybean,LogitBoost,False
soybean,AdaBoost,False
hill-valley,LogitBoost,True
hill-valley,MadaBoost,False
hill-valley,AdaBoost,False
cardiotocography-10clases,LogitBoost,True
cardiotocography-10clases,MadaBoost,False
cardiotocography-10clases,AdaBoost,False
breast-tissue,AdaBoost,True
breast-tissue,MadaBoost,False
breast-tissue,LogitBoost,False
ilpd-indian-liver,AdaBoost,True
ilpd-indian-liver,LogitBoost,False
ilpd-indian-liver,MadaBoost,False
steel-plates,AdaBoost,True
steel-plates,MadaBoost,False
steel-plates,LogitBoost,False
pittsburg-bridges-SPAN,MadaBoost,True
pittsburg-bridges-SPAN,AdaBoost,False
pittsburg-bridges-SPAN,LogitBoost,False
conn-bench-vowel-deterding,LogitBoost,True
conn-bench-vowel-deterding,AdaBoost,False
conn-bench-vowel-deterding,MadaBoost,False
newton_hema,MadaBoost,True
newton_hema,AdaBoost,False
newton_hema,LogitBoost,False
ionosphere,LogitBoost,True
ionosphere,AdaBoost,False
ionosphere,MadaBoost,False
mammographic,MadaBoost,True
mammographic,LogitBoost,False
mammographic,AdaBoost,False
synthetic-control,AdaBoost,True
synthetic-control,MadaBoost,False
synthetic-control,LogitBoost,False
chess-krvkp,AdaBoost,True
chess-krvkp,LogitBoost,False
chess-krvkp,MadaBoost,False
elusage,LogitBoost,True
elusage,AdaBoost,False
elusage,MadaBoost,False
heart-cleveland,LogitBoost,True
heart-cleveland,MadaBoost,False
heart-cleveland,AdaBoost,False
socmob,MadaBoost,True
socmob,LogitBoost,False
socmob,AdaBoost,False
dermatology,MadaBoost,True
dermatology,LogitBoost,False
dermatology,AdaBoost,False
low-res-spect,MadaBoost,True
low-res-spect,LogitBoost,False
low-res-spect,AdaBoost,False
teachingAssistant,LogitBoost,True
teachingAssistant,AdaBoost,False
teachingAssistant,MadaBoost,False
statlog-german-credit,LogitBoost,True
statlog-german-credit,AdaBoost,False
statlog-german-credit,MadaBoost,False
oocytes_merluccius_nucleus_4d,LogitBoost,True
oocytes_merluccius_nucleus_4d,AdaBoost,False
oocytes_merluccius_nucleus_4d,MadaBoost,False
planning,AdaBoost,True
planning,MadaBoost,False
planning,LogitBoost,False
acute-nephritis,MadaBoost,True
acute-nephritis,AdaBoost,False
acute-nephritis,LogitBoost,False
image-segmentation,AdaBoost,True
image-segmentation,MadaBoost,False
image-segmentation,LogitBoost,False
ecoli,MadaBoost,True
ecoli,LogitBoost,False
ecoli,AdaBoost,False
seeds,MadaBoost,True
seeds,LogitBoost,False
seeds,AdaBoost,False
audiology-std,MadaBoost,True
audiology-std,LogitBoost,False
audiology-std,AdaBoost,False
titanic,MadaBoost,True
titanic,AdaBoost,False
titanic,LogitBoost,False
zoo,MadaBoost,True
zoo,LogitBoost,False
zoo,AdaBoost,False
vote,MadaBoost,True
vote,LogitBoost,False
vote,AdaBoost,False
horse-colic,LogitBoost,True
horse-colic,MadaBoost,False
horse-colic,AdaBoost,False
balance-scale,AdaBoost,True
balance-scale,MadaBoost,False
balance-scale,LogitBoost,False
cardiotocography-3clases,LogitBoost,True
cardiotocography-3clases,MadaBoost,False
cardiotocography-3clases,AdaBoost,False
tae,AdaBoost,True
tae,MadaBoost,False
tae,LogitBoost,False
lymphography,MadaBoost,True
lymphography,LogitBoost,False
lymphography,AdaBoost,False
cloud,MadaBoost,True
cloud,AdaBoost,False
cloud,LogitBoost,False
oocytes_trisopterus_nucleus_2f,LogitBoost,True
oocytes_trisopterus_nucleus_2f,AdaBoost,False
oocytes_trisopterus_nucleus_2f,MadaBoost,False
vertebral-column-2clases,LogitBoost,True
vertebral-column-2clases,AdaBoost,False
vertebral-column-2clases,MadaBoost,False
spect,AdaBoost,True
spect,LogitBoost,False
spect,MadaBoost,False
squash-stored,AdaBoost,True
squash-stored,LogitBoost,False
squash-stored,MadaBoost,False
haberman-survival,AdaBoost,True
haberman-survival,LogitBoost,False
haberman-survival,MadaBoost,False
plant-margin,LogitBoost,True
plant-margin,AdaBoost,False
plant-margin,MadaBoost,False
heart-hungarian,LogitBoost,True
heart-hungarian,AdaBoost,False
heart-hungarian,MadaBoost,False
lenses,MadaBoost,True
lenses,LogitBoost,False
lenses,AdaBoost,False
monks-2,AdaBoost,True
monks-2,LogitBoost,False
monks-2,MadaBoost,False
energy-y2,LogitBoost,True
energy-y2,MadaBoost,False
energy-y2,AdaBoost,False
transplant,MadaBoost,True
transplant,AdaBoost,False
transplant,LogitBoost,False
plant-shape,LogitBoost,True
plant-shape,MadaBoost,False
plant-shape,AdaBoost,False
teaching,LogitBoost,True
teaching,MadaBoost,False
teaching,AdaBoost,False
analcatdata_germangss,MadaBoost,True
analcatdata_germangss,LogitBoost,False
analcatdata_germangss,AdaBoost,False
rabe_131,MadaBoost,True
rabe_131,LogitBoost,False
rabe_131,AdaBoost,False
musk-1,LogitBoost,True
musk-1,AdaBoost,False
musk-1,MadaBoost,False
baseball,LogitBoost,True
baseball,MadaBoost,False
baseball,AdaBoost,False
breast-cancer,AdaBoost,True
breast-cancer,LogitBoost,False
breast-cancer,MadaBoost,False
fertility,MadaBoost,True
fertility,LogitBoost,False
fertility,AdaBoost,False
pittsburg-bridges-T-OR-D_R,MadaBoost,True
pittsburg-bridges-T-OR-D_R,AdaBoost,False
pittsburg-bridges-T-OR-D_R,LogitBoost,False
heart-switzerland,MadaBoost,True
heart-switzerland,LogitBoost,False
heart-switzerland,AdaBoost,False
analcatdata_asbestos,AdaBoost,True
analcatdata_asbestos,MadaBoost,False
analcatdata_asbestos,LogitBoost,False
plasma_retinol,MadaBoost,True
plasma_retinol,AdaBoost,False
plasma_retinol,LogitBoost,False
pm10,AdaBoost,True
pm10,MadaBoost,False
pm10,LogitBoost,False
congressional-voting,AdaBoost,True
congressional-voting,LogitBoost,False
congressional-voting,MadaBoost,False
mfeat-karhunen,LogitBoost,True
mfeat-karhunen,MadaBoost,False
mfeat-karhunen,AdaBoost,False
annealing,MadaBoost,True
annealing,LogitBoost,False
annealing,AdaBoost,False
bodyfat,MadaBoost,True
bodyfat,LogitBoost,False
bodyfat,AdaBoost,False
wine,AdaBoost,True
wine,MadaBoost,False
wine,LogitBoost,False
yeast,MadaBoost,True
yeast,LogitBoost,False
yeast,AdaBoost,False
contrac,AdaBoost,True
contrac,MadaBoost,False
contrac,LogitBoost,False
pittsburg-bridges-REL-L,MadaBoost,True
pittsburg-bridges-REL-L,LogitBoost,False
pittsburg-bridges-REL-L,AdaBoost,False
conn-bench-sonar-mines-rocks,LogitBoost,True
conn-bench-sonar-mines-rocks,AdaBoost,False
conn-bench-sonar-mines-rocks,MadaBoost,False
heart-va,AdaBoost,True
heart-va,MadaBoost,False
heart-va,LogitBoost,False
waveform-noise,LogitBoost,True
waveform-noise,MadaBoost,False
waveform-noise,AdaBoost,False
statlog-vehicle,MadaBoost,True
statlog-vehicle,AdaBoost,False
statlog-vehicle,LogitBoost,False
spambase,MadaBoost,True
spambase,LogitBoost,False
spambase,AdaBoost,False
prnn_synth,AdaBoost,True
prnn_synth,LogitBoost,False
prnn_synth,MadaBoost,False
libras,LogitBoost,True
libras,MadaBoost,False
libras,AdaBoost,False
acute-inflammation,MadaBoost,True
acute-inflammation,LogitBoost,False
acute-inflammation,AdaBoost,False
rmftsa_sleepdata,MadaBoost,True
rmftsa_sleepdata,AdaBoost,False
rmftsa_sleepdata,LogitBoost,False
braziltourism,MadaBoost,True
braziltourism,LogitBoost,False
braziltourism,AdaBoost,False
kc3,AdaBoost,True
kc3,LogitBoost,False
kc3,MadaBoost,False
credit-approval,AdaBoost,True
credit-approval,MadaBoost,False
credit-approval,LogitBoost,False
analcatdata_lawsuit,AdaBoost,True
analcatdata_lawsuit,MadaBoost,False
analcatdata_lawsuit,LogitBoost,False
pittsburg-bridges-MATERIAL,MadaBoost,True
pittsburg-bridges-MATERIAL,LogitBoost,False
pittsburg-bridges-MATERIAL,AdaBoost,False
diabetes,LogitBoost,True
diabetes,MadaBoost,False
diabetes,AdaBoost,False
arrhythmia,MadaBoost,True
arrhythmia,LogitBoost,False
arrhythmia,AdaBoost,False
breast-cancer-wisc-prog,MadaBoost,True
breast-cancer-wisc-prog,AdaBoost,False
breast-cancer-wisc-prog,LogitBoost,False
oocytes_merluccius_states_2f,LogitBoost,True
oocytes_merluccius_states_2f,AdaBoost,False
oocytes_merluccius_states_2f,MadaBoost,False
semeion,LogitBoost,True
semeion,MadaBoost,False
semeion,AdaBoost,False
post-operative,MadaBoost,True
post-operative,LogitBoost,False
post-operative,AdaBoost,False
disclosure_z,LogitBoost,True
disclosure_z,AdaBoost,False
disclosure_z,MadaBoost,False
squash-unstored,MadaBoost,True
squash-unstored,LogitBoost,False
squash-unstored,AdaBoost,False
meta,MadaBoost,True
meta,AdaBoost,False
meta,LogitBoost,False
fri_c0_250_5,AdaBoost,True
fri_c0_250_5,MadaBoost,False
fri_c0_250_5,LogitBoost,False
no2,MadaBoost,True
no2,LogitBoost,False
no2,AdaBoost,False
wine-quality-white,MadaBoost,True
wine-quality-white,LogitBoost,False
wine-quality-white,AdaBoost,False
wine-quality-red,LogitBoost,True
wine-quality-red,MadaBoost,False
wine-quality-red,AdaBoost,False
blood,LogitBoost,True
blood,AdaBoost,False
blood,MadaBoost,False
glass,MadaBoost,True
glass,LogitBoost,False
glass,AdaBoost,False
statlog-australian-credit,MadaBoost,True
statlog-australian-credit,AdaBoost,False
statlog-australian-credit,LogitBoost,False
iris,MadaBoost,True
iris,LogitBoost,False
iris,AdaBoost,False
visualizing_livestock,AdaBoost,True
visualizing_livestock,MadaBoost,False
visualizing_livestock,LogitBoost,False
tic-tac-toe,LogitBoost,True
tic-tac-toe,AdaBoost,False
tic-tac-toe,MadaBoost,False
hayes-roth,MadaBoost,True
hayes-roth,AdaBoost,False
hayes-roth,LogitBoost,False
monks-3,LogitBoost,True
monks-3,AdaBoost,False
monks-3,MadaBoost,False
breast-cancer-wisc,AdaBoost,True
breast-cancer-wisc,MadaBoost,False
breast-cancer-wisc,LogitBoost,False
diggle_table_a2,MadaBoost,True
diggle_table_a2,LogitBoost,False
diggle_table_a2,AdaBoost,False
sleuth_case2002,MadaBoost,True
sleuth_case2002,AdaBoost,False
sleuth_case2002,LogitBoost,False
molec-biol-promoter,MadaBoost,True
molec-biol-promoter,LogitBoost,False
molec-biol-promoter,AdaBoost,False
statlog-heart_,LogitBoost,True
statlog-heart_,MadaBoost,False
statlog-heart_,AdaBoost,False
monks-1,MadaBoost,True
monks-1,LogitBoost,False
monks-1,AdaBoost,False
pittsburg-bridges-TYPE,MadaBoost,True
pittsburg-bridges-TYPE,AdaBoost,False
pittsburg-bridges-TYPE,LogitBoost,False
triazines,AdaBoost,True
triazines,MadaBoost,False
triazines,LogitBoost,False
breast-cancer-wisc-diag,AdaBoost,True
breast-cancer-wisc-diag,LogitBoost,False
breast-cancer-wisc-diag,MadaBoost,False
flags,MadaBoost,True
flags,LogitBoost,False
flags,AdaBoost,False
energy-y1,AdaBoost,True
energy-y1,LogitBoost,False
energy-y1,MadaBoost,False
chatfield_4,MadaBoost,True
chatfield_4,AdaBoost,False
chatfield_4,LogitBoost,False
vertebral-column-3clases,LogitBoost,True
vertebral-column-3clases,MadaBoost,False
vertebral-column-3clases,AdaBoost,False
car,AdaBoost,True
car,MadaBoost,False
car,LogitBoost,False
lowbwt,AdaBoost,True
lowbwt,LogitBoost,False
lowbwt,MadaBoost,False
oocytes_trisopterus_states_5b,MadaBoost,True
oocytes_trisopterus_states_5b,LogitBoost,False
oocytes_trisopterus_states_5b,AdaBoost,False
mfeat-morphological,AdaBoost,True
mfeat-morphological,LogitBoost,False
mfeat-morphological,MadaBoost,False
mushroom,LogitBoost,True
mushroom,MadaBoost,False
mushroom,AdaBoost,False
plant-texture,LogitBoost,True
plant-texture,MadaBoost,False
plant-texture,AdaBoost,False
white-clover,MadaBoost,True
white-clover,LogitBoost,False
white-clover,AdaBoost,False
ozone,MadaBoost,True
ozone,LogitBoost,False
ozone,AdaBoost,False
bank,LogitBoost,True
bank,AdaBoost,False
bank,MadaBoost,False
lung-cancer,MadaBoost,True
lung-cancer,LogitBoost,False
lung-cancer,AdaBoost,False
statlog-image,LogitBoost,True
statlog-image,MadaBoost,False
statlog-image,AdaBoost,False
abalon,AdaBoost,True
abalon,MadaBoost,False
abalon,LogitBoost,False
analcatdata_boxing1,AdaBoost,True
analcatdata_boxing1,LogitBoost,False
analcatdata_boxing1,MadaBoost,False
parkinsons,AdaBoost,True
parkinsons,MadaBoost,False
parkinsons,LogitBoost,False
schizo,MadaBoost,True
schizo,AdaBoost,False
schizo,LogitBoost,False
